scene_id,datetime,hab_prob_mean,hab_prob_max,hab_prob_p90
S2B_MSIL2A_20240316T065629_R063_T39QXG_20240316T121959,2024-03-16 06:56:29.024000+00:00,0.3492686674013198,0.3492686674013198,0.3492686674013198
S2B_MSIL2A_20240326T065619_R063_T39QXG_20240326T132139,2024-03-26 06:56:19.024000+00:00,0.3858241794154783,0.3858241794154783,0.3858241794154783
S2B_MSIL2A_20240624T065629_R063_T39QXG_20240624T103302,2024-06-24 06:56:29.024000+00:00,0.6806652486044539,0.6806652486044539,0.6806652486044539
S2B_MSIL2A_20240704T065629_R063_T39QXG_20240705T224349,2024-07-04 06:56:29.024000+00:00,0.4489660200878193,0.4489660200878193,0.4489660200878193
S2B_MSIL2A_20240714T065619_R063_T39QXG_20240714T115201,2024-07-14 06:56:19.024000+00:00,0.6218146029686158,0.6218146029686158,0.6218146029686158
S2B_MSIL2A_20240902T065629_R063_T39QXG_20240902T111143,2024-09-02 06:56:29.024000+00:00,0.4947710767025806,0.4947710767025806,0.4947710767025806
S2B_MSIL2A_20240912T065619_R063_T39QXG_20240912T130211,2024-09-12 06:56:19.024000+00:00,0.4239915291956932,0.4239915291956932,0.4239915291956932
S2B_MSIL2A_20240922T065619_R063_T39QXG_20240922T102739,2024-09-22 06:56:19.024000+00:00,0.6099070267090145,0.6099070267090145,0.6099070267090145
S2B_MSIL2A_20250110T070149_R063_T39QXG_20250110T091744,2025-01-10 07:01:49.024000+00:00,0.6215952662396707,0.6215952662396707,0.6215952662396707
S2C_MSIL2A_20250125T070221_R063_T39QXG_20250125T110112,2025-01-25 07:02:21.025000+00:00,0.6098875800735756,0.6098875800735756,0.6098875800735756
