tile,scene_id,datetime,ndwi_mean,ndwi_std,fai_mean,fai_std,rednir_mean,rednir_std,valid_px,chlor_a,kd490,flh,season_dir
S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110_0000.jpg,S2A_MSIL2A_20180830T065621_R063_T39QXG_20201103T141110,2018-08-30 06:56:21.024000+00:00,-0.153169646859169,0.0,0.0448196902871131,7.450580596923828e-09,0.9157285094261168,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180828T070609_R106_T39QXG_20201027T060148_0000.jpg,S2B_MSIL2A_20180828T070609_R106_T39QXG_20201027T060148,2018-08-28 07:06:09.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180825T065619_R063_T39QXG_20201011T065431_0000.jpg,S2B_MSIL2A_20180825T065619_R063_T39QXG_20201011T065431,2018-08-25 06:56:19.024000+00:00,-0.1532414704561233,0.0,0.0354360938072204,0.0,0.90119069814682,1.1920928955078125e-07,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180820T065621_R063_T39QXG_20201011T042051_0000.jpg,S2A_MSIL2A_20180820T065621_R063_T39QXG_20201011T042051,2018-08-20 06:56:21.024000+00:00,-0.1607653349637985,0.0,0.0417311415076255,7.450580596923828e-09,0.9043675065040588,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180818T070619_R106_T39QXG_20201011T033733_0000.jpg,S2B_MSIL2A_20180818T070619_R106_T39QXG_20201011T033733,2018-08-18 07:06:19.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180815T065729_R063_T39QXG_20201011T021229_0000.jpg,S2B_MSIL2A_20180815T065729_R063_T39QXG_20201011T021229,2018-08-15 06:57:29.024000+00:00,-0.1586140096187591,0.0,0.0386622920632362,7.450580596923828e-09,0.8991031050682068,0.0,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180813T070621_R106_T39QXG_20201011T010433_0000.jpg,S2A_MSIL2A_20180813T070621_R106_T39QXG_20201011T010433,2018-08-13 07:06:21.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180810T065621_R063_T39QXG_20201010T234149_0000.jpg,S2A_MSIL2A_20180810T065621_R063_T39QXG_20201010T234149,2018-08-10 06:56:21.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2A_MSIL2A_20180731T065621_R063_T39QXG_20201011T220026_0000.jpg,S2A_MSIL2A_20180731T065621_R063_T39QXG_20201011T220026,2018-07-31 06:56:21.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
S2B_MSIL2A_20180726T065619_R063_T39QXG_20201011T202045_0000.jpg,S2B_MSIL2A_20180726T065619_R063_T39QXG_20201011T202045,2018-07-26 06:56:19.024000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,16384,,,,data/aerial_summer_2018
