tile,scene_id,datetime,month_key,fai_mean,rednir_mean,ndwi_mean,kd490,chlor_a,nflh,sst,month_sin,month_cos,ndwi_std,rednir_std,hab_label,p_frcnn_r50_med,p_frcnn_mb_med,p_ssd_mb_med,p_tab,date_key,region_key,group_for_cv,month_num,sst_clim_rm,sst_anom,sst_anom_z,log_kd490,log_chlor_a,log_nflh,ratio_chl_kd,chl_times_nflh,ratio_nflh_kd,sst_anom_x_chlor_a,sst_anom_x_nflh,sst_anom_x_fai_mean,sst_anom_x_kd490,sst_anom_x_month_sin,sst_anom_x_month_cos
S2B_MSIL2A_20240714T065619_R063_T39QXG_20240714T115201_0000.jpg,S2B_MSIL2A_20240714T065619_R063_T39QXG_20240714T115201,2024-07-14 06:56:19.024000+00:00,2024-07,0.0451540946960449,0.908058226108551,-0.1382941305637359,0.095,0.904828,0.217735,25.565,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,5.960464477539065e-08,1,0.7535458207130432,0.1448770612478255,0.5215644985437393,0.6756320814180017,2024-07-14 06:56:19.024,T39QXG,T39QXG,7,25.705499999999997,-0.14049999999999585,-0.24826029548330436,-1.0222763947111522,-0.043433968585097495,-0.6620717543070548,9.524505263157895,0.19701272458,2.2919473684210527,-0.12712833399999623,-0.030591767499999097,-0.006344150304794121,-0.013347499999999606,0.07024999999999794,0.12167656923171002
S2B_MSIL2A_20240704T065629_R063_T39QXG_20240705T224349_0000.jpg,S2B_MSIL2A_20240704T065629_R063_T39QXG_20240705T224349,2024-07-04 06:56:29.024000+00:00,2024-07,0.0443606376647949,0.9161996245384216,-0.1317174732685089,0.04625,0.251155,0.224556,24.5533,-0.5000000000000001,-0.8660254037844386,1.4901161193847656e-08,0.0,0,0.7535458207130432,0.1448770612478255,0.5215644985437393,0.4556356052849454,2024-07-04 06:56:29.024,T39QXG,T39QXG,7,25.705499999999997,-1.152199999999997,-2.0359111206823557,-1.3348882629249486,-0.6000581714729984,-0.6486753363613249,5.430378378378379,0.05639836218000001,4.855264864864865,-0.28938079099999925,-0.2587334231999993,-0.051112326717376554,-0.05328924999999986,0.5760999999999986,0.9978344702404276
S2B_MSIL2A_20240624T065629_R063_T39QXG_20240624T103302_0000.jpg,S2B_MSIL2A_20240624T065629_R063_T39QXG_20240624T103302,2024-06-24 06:56:29.024000+00:00,2024-06,0.0423803329467773,0.9245147109031676,-0.1231882870197296,0.0898,0.53855,0.47588,26.24,1.2246467991473532e-16,-1.0,2.2351741790771484e-08,1.1920928955078125e-07,1,0.891881912946701,0.2301483228802681,0.5347231179475784,0.6193035229799969,2024-06-24 06:56:29.024,T39QXG,T39QXG,6,26.33138333333333,-0.09138333333333293,-0.2089594017936827,-1.0467236633326955,-0.268773969773528,-0.3225025470864247,5.997216035634743,0.256285174,5.299331848552338,-0.04921449416666645,-0.04348750066666648,-0.003872856092452982,-0.008206223333333297,-1.119123066620818e-17,0.09138333333333293
S2A_MSIL2A_20240619T065631_R063_T39QXG_20240619T131334_0000.jpg,S2A_MSIL2A_20240619T065631_R063_T39QXG_20240619T131334,2024-06-19 06:56:31.024000+00:00,2024-06,0.0499147772789001,0.93224436044693,-0.1253087669610977,0.0898,0.53855,0.47588,26.24,1.2246467991473532e-16,-1.0,1.4901161193847656e-08,5.960464477539065e-08,1,0.891881912946701,0.2301483228802681,0.5347231179475784,0.5713268797096769,2024-06-19 06:56:31.024,T39QXG,T39QXG,6,26.33138333333333,-0.09138333333333293,-0.2089594017936827,-1.0467236633326955,-0.268773969773528,-0.3225025470864247,5.997216035634743,0.256285174,5.299331848552338,-0.04921449416666645,-0.04348750066666648,-0.0045613787303368,-0.008206223333333297,-1.119123066620818e-17,0.09138333333333293
S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107_0000.jpg,S2B_MSIL2A_20180328T065919_R063_T39QXG_20201013T154107,2018-03-28 06:59:19.027000+00:00,2018-03,0.0399803519248962,0.8632269501686096,-0.1922474801540374,0.0496,0.254955,0.34175,29.1717,1.0,6.123233995736766e-17,2.9802322387695312e-08,1.1920928955078125e-07,0,0.8779841065406799,0.332739382982254,0.5718271136283875,0.3516408579867923,2018-03-28 06:59:19.027,T39QXG,T39QXG,3,28.390304255319148,0.7813957446808537,0.8260753573695913,-1.3045183235098026,-0.5935364665319002,-0.4662914767601401,5.140221774193548,0.08713087124999999,6.890120967741936,0.19922075208510706,0.26704199574468174,0.03124047686495687,0.03875722893617034,0.7813957446808537,4.7846689879538495e-17
S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706_0000.jpg,S2A_MSIL2A_20180323T065621_R063_T39QXG_20201013T125706,2018-03-23 06:56:21.026000+00:00,2018-03,0.0416262373328208,0.8668715953826904,-0.1946368366479873,0.0496,0.254955,0.34175,29.1717,1.0,6.123233995736766e-17,0.0,1.788139343261719e-07,0,0.8779841065406799,0.332739382982254,0.5718271136283875,0.3255376240115563,2018-03-23 06:56:21.026,T39QXG,T39QXG,3,28.390304255319148,0.7813957446808537,0.8260753573695913,-1.3045183235098026,-0.5935364665319002,-0.4662914767601401,5.140221774193548,0.08713087124999999,6.890120967741936,0.19922075208510706,0.26704199574468174,0.03252656471894146,0.03875722893617034,0.7813957446808537,4.7846689879538495e-17
S2B_MSIL2A_20180318T065619_R063_T39QXG_20201013T105007_0000.jpg,S2B_MSIL2A_20180318T065619_R063_T39QXG_20201013T105007,2018-03-18 06:56:19.027000+00:00,2018-03,0.0473573803901672,0.9049136638641356,-0.169926717877388,0.058,0.338219,0.29551,28.945,1.0,6.123233995736766e-17,1.4901161193847656e-08,1.1920928955078125e-07,0,0.8779841065406799,0.332739382982254,0.5718271136283875,0.2929533797763272,2018-03-18 06:56:19.027,T39QXG,T39QXG,3,28.390304255319148,0.5546957446808527,0.5864128242799408,-1.2365720064370627,-0.4708019988572053,-0.5294278180946175,5.831362068965517,0.09994709669,5.095,0.1876086400702133,0.16391813951063877,0.026268937381658208,0.03217235319148946,0.5546957446808527,3.3965318411203185e-17
S2A_MSIL2A_20180313T065651_R063_T39QXG_20201013T082101_0000.jpg,S2A_MSIL2A_20180313T065651_R063_T39QXG_20201013T082101,2018-03-13 06:56:51.026000+00:00,2018-03,0.0440786853432655,0.9042968153953552,-0.1643057167530059,0.0723,0.52831,0.35212,28.2133,1.0,6.123233995736766e-17,2.9802322387695312e-08,1.788139343261719e-07,0,0.8779841065406799,0.332739382982254,0.5718271136283875,0.3838645775366257,2018-03-13 06:56:51.026,T39QXG,T39QXG,3,28.390304255319148,-0.17700425531914732,-0.18712522363226244,-1.140861702705469,-0.27711116878738107,-0.45330930681575937,7.307192254495158,0.18602851719999997,4.870262793914246,-0.09351311812765871,-0.06232673838297815,-0.007802114874631723,-0.012797407659574352,-0.17700425531914732,-1.0838384735602731e-17
S2B_MSIL2A_20180308T065719_R063_T39QXG_20201013T080744_0000.jpg,S2B_MSIL2A_20180308T065719_R063_T39QXG_20201013T080744,2018-03-08 06:57:19.027000+00:00,2018-03,0.0368918180465698,0.8645897507667542,-0.1876153349876403,0.0723,0.52831,0.35212,28.2133,1.0,6.123233995736766e-17,1.4901161193847656e-08,0.0,0,0.8779841065406799,0.332739382982254,0.5718271136283875,0.4802555956423855,2018-03-08 06:57:19.027,T39QXG,T39QXG,3,28.390304255319148,-0.17700425531914732,-0.18712522363226244,-1.140861702705469,-0.27711116878738107,-0.45330930681575937,7.307192254495158,0.18602851719999997,4.870262793914246,-0.09351311812765871,-0.06232673838297815,-0.006530008780702568,-0.012797407659574352,-0.17700425531914732,-1.0838384735602731e-17
S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226_0000.jpg,S2A_MSIL2A_20180303T065801_R063_T39QXG_20201013T055226,2018-03-03 06:58:01.026000+00:00,2018-03,0.0430032983422279,0.8816649913787842,-0.1884126812219619,2.2442,9.97179,0.67053,27.815,1.0,6.123233995736766e-17,2.9802322387695312e-08,1.1920928955078125e-07,1,0.8779841065406799,0.332739382982254,0.5718271136283875,1.0,2018-03-03 06:58:01.026,T39QXG,T39QXG,3,28.390304255319148,-0.5753042553191463,-0.6081997138378518,0.35106155803238287,0.9987731239430955,-0.17358178672663588,4.443360663042509,6.6863843487,0.2987835308796007,-5.73681322014891,-0.38575876231914713,-0.024739980529042502,-1.2910978097872283,-0.5753042553191463,-3.522722574062221e-17
