scene_id,scene_prob,max_tile_prob,mean_tile_prob,n_tiles,n_tiles_over_thr,threshold_tile_used,agg,best_tile,best_tile_prob,scene_alert,scene_root,scene_lat,scene_lon
S2A_MSIL2A_20240321T065621_R063_T39QXG,0.2937182299078272,0.2937182299078272,0.2937182299078272,1,0,0.5327723842346281,max,S2A_MSIL2A_20240321T065621_R063_T39QXG_20240321T122014_0000.jpg,0.2937182299078272,0,S2A_MSIL2A_20240321T065621_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20220210T070031_R063_T39QXG,0.2896516902231068,0.2896516902231068,0.2896516902231068,1,0,0.5327723842346281,max,S2A_MSIL2A_20220210T070031_R063_T39QXG_20220221T065843_0000.jpg,0.2896516902231068,0,S2A_MSIL2A_20220210T070031_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20220302T065811_R063_T39QXG,0.2887878494220376,0.2887878494220376,0.2858702842084704,2,0,0.5327723842346281,max,S2A_MSIL2A_20220302T065811_R063_T39QXG_20220304T043204_0000.jpg,0.2887878494220376,0,S2A_MSIL2A_20220302T065811_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20240326T065619_R063_T39QXG,0.2869657154202156,0.2869657154202156,0.2869657154202156,1,0,0.5327723842346281,max,S2B_MSIL2A_20240326T065619_R063_T39QXG_20240326T132139_0000.jpg,0.2869657154202156,0,S2B_MSIL2A_20240326T065619_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20230903T065631_R063_T39QXG,0.2831960765326329,0.2831960765326329,0.2831960765326329,2,0,0.5327723842346281,max,S2A_MSIL2A_20230903T065631_R063_T39QXG_20241030T165920_0000.jpg,0.2831960765326329,0,S2A_MSIL2A_20230903T065631_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220215T065949_R063_T39QXG,0.2803047659053204,0.2803047659053204,0.2803047659053204,1,0,0.5327723842346281,max,S2B_MSIL2A_20220215T065949_R063_T39QXG_20220223T132730_0000.jpg,0.2803047659053204,0,S2B_MSIL2A_20220215T065949_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20220322T065631_R063_T39QXG,0.2741675568177997,0.2741675568177997,0.2677326442154295,2,0,0.5327723842346281,max,S2A_MSIL2A_20220322T065631_R063_T39QXG_20240522T141858_0000.jpg,0.2741675568177997,0,S2A_MSIL2A_20220322T065631_R063_T39QXG,23.9091969475,52.5238193975
S2B_MSIL2A_20220327T065619_R063_T39QXG,0.2694132528497364,0.2694132528497364,0.2694132528497364,1,0,0.5327723842346281,max,S2B_MSIL2A_20220327T065619_R063_T39QXG_20220327T201724_0000.jpg,0.2694132528497364,0,S2B_MSIL2A_20220327T065619_R063_T39QXG,23.909196945,52.523819395
S2A_MSIL2A_20240301T065821_R063_T39QXG,0.2639604283952064,0.2639604283952064,0.2639604283952064,1,0,0.5327723842346281,max,S2A_MSIL2A_20240301T065821_R063_T39QXG_20240301T115335_0000.jpg,0.2639604283952064,0,S2A_MSIL2A_20240301T065821_R063_T39QXG,23.909196945,52.523651125
S2B_MSIL2A_20240316T065629_R063_T39QXG,0.2636105223652835,0.2636105223652835,0.2636105223652835,1,0,0.5327723842346281,max,S2B_MSIL2A_20240316T065629_R063_T39QXG_20240316T121959_0000.jpg,0.2636105223652835,0,S2B_MSIL2A_20240316T065629_R063_T39QXG,23.909196945,52.523819395
